X,Y,Limit_A,Limit_B,Status,Repeater,NonTSMComp,Size,STATUS_ID,MaxSpeed_1,MaxSpeed_2,LastUpdate,Mounting,Descriptio,Maintenanc,Maintena_1,_full_text,X_ITM,Y_ITM
-6.131121996,53.23517758,50 Km/h,30 Km/h,Standard,0,0,600mm,8,50,30,20151117,Bracket Mounted,Maintenance - 50kmh face has minor damage.,Damaged Sign,Low,,724759.7206,722162.631
-6.201143259,53.31153254,50 Km/h,,Standard,1,1,600mm,8,50,0,20151201,Bracket Mounted,"Non TSM - Sign too big. Maintenance - Kerb offset 200mm, sign rotated & damaged, sleeves faded.",Damaged Sign,Low,,719871.9553,730537.6771
-6.131005478,53.24357592,50 Km/h,,Standard,0,0,600mm,8,50,0,20151118,Bracket Mounted,,,,,724743.0718,723097.183
-6.13167061,53.2297429,80 Km/h,,Standard,0,0,,8,80,0,20160201,Bracket Mounted,,,,,724738.9003,721557.0445
-6.143683739,53.27042294,50 Km/h,,Standard,1,0,300mm,8,50,0,20160106,Bracket Mounted,"Maintenance - Height 1.9m, sleeves faded.",,Low,,723819.3935,726061.9887
-6.209545277,53.30426812,60 Km/h,,Standard,1,0,600mm,8,60,0,20151201,Bracket Mounted,"Maintenance - Sleeves faded, pole at slight angle.",,Low,,719332.3735,729715.3966
-6.185461091,53.30150239,50 Km/h,50 Km/h,Standard,1,1,600mm,8,50,50,20151201,Bracket Mounted,"Non TSM - Signs too big. Maintenance - Kerb offset 200mm, both faces damaged, fit sleeves, both faces rotated.",Damaged Sign,Low,,720945.2292,729448.1939
-6.18288526,53.24759343,50 Km/h,,Standard,1,0,300mm,8,50,0,20151207,,Mounting - Mounted on Lp.,,,,721269.4104,723454.8891
-6.114189562,53.23980402,30 Km/h,,Standard,0,0,600mm,8,30,0,20151125,Bracket Mounted,"Not in Bye laws. Maintenance - Missing 50kmh on back, on wrong side of road, fit sleeves, kerb offset 350mm, height 1.64m, rotated 90 degrees.",Inappropriate,High,,725876.3787,722707.0162
-6.108168964,53.27817079,50 Km/h,,Standard,1,0,300mm,8,50,0,20151120,Bracket Mounted,"Maintenance - Sign damaged & rotated, kerb offset 110mm.",Damaged Sign,Low,,726165.2255,726986.0859
-6.264333333,53.26831245,100 Km/h,,Standard,1,0,,8,100,0,20160201,Bracket Mounted,,,,,715778.2905,725624.9579
-6.215328791,53.30824426,60 Km/h,,Standard,0,0,600mm,8,60,0,20151201,Bracket Mounted,"Maintenance - Kerb offset not 450mm, sleeves faded.",,Low,,718935.8902,730148.124
-6.196140855,53.23957119,50 Km/h,,Standard,1,1,600mm,8,50,0,20151215,Bracket Mounted,"Non TSM - Sign too big. Maintenance - Sign rotated and not visible, pole knocked, kerb offset 100mm, sleeves damaged.",Damaged Pole,High,,720407.3706,722539.9707
-6.172418992,53.27297927,60 Km/h,,Standard,0,0,600mm,8,60,0,20151118,Bracket Mounted,,,,,721895.617,726296.9971
-6.117937361,53.21141574,50 Km/h,,Standard,1,1,600mm,8,50,0,20151202,Bracket Mounted,Non TSM - County boundary sign. Maintenance - Sign damaged.,Damaged Sign,High,,725709.3705,719542.1295
-6.13538759,53.29195064,50 Km/h,,Standard,0,0,600mm,8,50,0,20160104,,"Maintenance - Fit sleeves, should have 30 kmh on back, kerb offset 220mm.",,Low,,724310.2047,728471.4532
-6.135266552,53.27806038,60 Km/h,,Standard,1,0,600mm,8,60,0,20160108,,Mounting - Mounted on Lp.,,,,724358.6049,726926.3046
-6.159047585,53.26578693,80 Km/h,,Standard,0,0,600mm,8,80,0,20151118,Bracket Mounted,"Maintenance - sign is rotated and not visible, kerb offset 400mm, sleeves are faded, fit 50kmh sign to back of 80kmh sign.",Obscured,High,,722807.9863,725519.7023
